Date,Close
1/4/2010 16:00,313.37
1/5/2010 16:00,311.99
1/6/2010 16:00,304.13
1/7/2010 16:00,297.05
1/8/2010 16:00,301.01
1/11/2010 16:00,300.55
1/12/2010 16:00,295.23
1/13/2010 16:00,293.54
1/14/2010 16:00,294.92
1/15/2010 16:00,290
1/19/2010 16:00,293.81
1/20/2010 16:00,290.2
1/21/2010 16:00,291.48
1/22/2010 16:00,275
1/25/2010 16:00,270
1/26/2010 16:00,271.2
1/27/2010 16:00,271.05
1/28/2010 16:00,267.14
1/29/2010 16:00,264.97
2/1/2010 16:00,266.51
2/2/2010 16:00,265.56
2/3/2010 16:00,270.41
2/4/2010 16:00,263.38
2/5/2010 16:00,265.64
2/8/2010 16:00,266.73
2/9/2010 16:00,268.22
2/10/2010 16:00,267.22
2/11/2010 16:00,268.2
2/12/2010 16:00,266.56
2/16/2010 16:00,270.64
2/17/2010 16:00,269.1
2/18/2010 16:00,271.6
2/19/2010 16:00,270.38
2/22/2010 16:00,271.39
2/23/2010 16:00,267.53
2/24/2010 16:00,265.73
2/25/2010 16:00,263.21
2/26/2010 16:00,263.39
3/1/2010 16:00,266.34
3/2/2010 16:00,270.52
3/3/2010 16:00,272.66
3/4/2010 16:00,277.29
3/5/2010 16:00,282.1
3/8/2010 16:00,281.23
3/9/2010 16:00,280.09
3/10/2010 16:00,288.22
3/11/2010 16:00,290.57
3/12/2010 16:00,289.76
3/15/2010 16:00,281.58
3/16/2010 16:00,282.6
3/17/2010 16:00,282.77
3/18/2010 16:00,283.2
3/19/2010 16:00,280
3/22/2010 16:00,278.75
3/23/2010 16:00,274.5
3/24/2010 16:00,278.66
3/25/2010 16:00,281.44
3/26/2010 16:00,281.34
3/29/2010 16:00,281.22
3/30/2010 16:00,283.35
3/31/2010 16:00,283.56
4/1/2010 16:00,284.39
4/5/2010 16:00,285.5
4/6/2010 16:00,284.1
4/7/2010 16:00,281.76
4/8/2010 16:00,283.74
4/9/2010 16:00,283.1
4/12/2010 16:00,286.36
4/13/2010 16:00,293.38
4/14/2010 16:00,294.5
4/15/2010 16:00,297.64
4/16/2010 16:00,275.07
4/19/2010 16:00,275.05
4/20/2010 16:00,277.51
4/21/2010 16:00,277.14
4/22/2010 16:00,273.52
4/23/2010 16:00,272.49
4/26/2010 16:00,265.82
4/27/2010 16:00,264.52
4/28/2010 16:00,264.59
4/29/2010 16:00,266
4/30/2010 16:00,262.84
5/3/2010 16:00,265.3
5/4/2010 16:00,253.18
5/5/2010 16:00,254.88
5/6/2010 16:00,249.33
5/7/2010 16:00,246.57
5/10/2010 16:00,260.82
5/11/2010 16:00,254.52
5/12/2010 16:00,252.69
5/13/2010 16:00,255.44
5/14/2010 16:00,253.76
5/17/2010 16:00,253.98
5/18/2010 16:00,249.18
5/19/2010 16:00,247.21
5/20/2010 16:00,237.5
5/21/2010 16:00,236.02
5/24/2010 16:00,238.58
5/25/2010 16:00,238.53
5/26/2010 16:00,237.73
5/27/2010 16:00,245.23
5/28/2010 16:00,242.81
6/1/2010 16:00,241.18
6/2/2010 16:00,246.68
6/3/2010 16:00,252.8
6/4/2010 16:00,249.36
6/7/2010 16:00,242.76
6/8/2010 16:00,242.39
6/9/2010 16:00,237.01
6/10/2010 16:00,243.5
6/11/2010 16:00,244.25
6/14/2010 16:00,241.59
6/15/2010 16:00,248.99
6/16/2010 16:00,250.63
6/17/2010 16:00,250.04
6/18/2010 16:00,250.01
6/21/2010 16:00,244.28
6/22/2010 16:00,243.12
6/23/2010 16:00,241.02
6/24/2010 16:00,237.55
6/25/2010 16:00,236.34
6/28/2010 16:00,236.04
6/29/2010 16:00,227.13
6/30/2010 16:00,222.47
7/1/2010 16:00,219.74
